rs,name,lon,lat
33,Veessen,6.089,52.378
66,Geldrop,5.561,51.423
39,Kantens,6.631,53.366
24,Merkelbeek,5.94,50.954
79,Vierhouten,5.829,52.332
79,Bant,5.752,52.768
46,Tirns,5.625,53.059
66,Weerdinge,6.919,52.82
46,Wemeldinge,3.993,51.515
33,Maren-Kessel,5.393,51.797
476,Assen,6.561,53.003
46,Neck,4.916,52.507
79,Wijhe,6.135,52.385
24,Ingber,5.858,50.818
55,Koningsbosch,5.958,51.052
66,Moergestel,5.178,51.545
24,Wirdum,6.786,53.323
46,Rietmolen,6.664,52.142
79,Workum,5.443,52.979
28,Maliskamp,5.387,51.705
94,Nunspeet,5.782,52.379
24,Noordwolde,6.589,53.272
33,Krimpen aan den IJssel,4.603,51.916
66,Veldhoek,6.411,52.046
46,Bloemendaal,4.62,52.406
94,Wijnjewoude,6.201,53.056
39,Aadorp,6.629,52.379
39,Kortenhoef,5.115,52.239
94,Dwingeloo,6.367,52.836
46,Rossum,6.923,52.353
28,Barger-Compascuum,7.042,52.755
46,Oirlo,6.036,51.511
46,'s-Gravenhage,4.288,52.073
66,Heesch,5.529,51.731
331,Sneek,5.661,53.03
46,Herpen,5.64,51.772
24,Hoogenweg,6.663,52.566
66,Voorst,6.142,52.171
39,Weebosch,5.293,51.308
46,Mierlo,5.619,51.442
46,Houten,5.161,52.038
46,Bentelo,6.684,52.225
24,Kornhorn,6.246,53.183
33,Hengstdijk,3.997,51.344
79,Nieuwerkerk aan den IJssel,4.606,51.963
28,Waardhuizen,5.007,51.777
134,Vught,5.283,51.645
39,Melick,6.009,51.16
55,Grijpskerk,6.307,53.261
